record_id,rayyan_an,source_db,year,title,ai_draft_decision,ai_draft_rationale
RAY-01,rayyan-654530328,PubMed,2016,"Subaxial cervical spine trauma.",Exclude,"Revisión narrativa general sobre clasificaciones, sin datos primarios de pacientes."
RAY-02,rayyan-654530329,PubMed,2024,"Efficacy and Safety of Conservative Treatment Compared With Surgical Treatment for Thoracolumbar Fracture With Score 4 TLICS: A Systematic Review and Meta-analysis.",Exclude,"Es una revisión sistemática/metaanálisis (diseño no primario), no un estudio observacional/RCT primario. Podría servir para búsqueda de referencias cruzadas."
RAY-03,rayyan-654530330,PubMed,2025,"The Initial Assessment and Management of Cervical Spine Injuries: A Comprehensive Review.",Exclude,"Revisión narrativa/comprehensiva, sin datos primarios de outcomes."
RAY-04,rayyan-654530331,PubMed,2019,"Spinal trauma in Tanzania: current management and outcomes.",Maybe,"Cohorte retrospectiva n=180, clasificación AOSpine explícita, outcome primario = recuperación neurológica (AIS). Revisar texto completo para confirmar si separa cervical subaxial de C0-C2 y si reporta por subgrupo AO."
RAY-05,rayyan-654530332,PubMed,2024,"Paediatric spine injuries in the thoracic and lumbar spine-results of the German multicentre CHILDSPINE study.",Exclude,"Población exclusivamente pediátrica (hasta 16 años)."
RAY-06,rayyan-654530333,PubMed,2025,"Perioperative complications in spinal trauma patients: does timing matter?",Maybe,"Cohorte retrospectiva n=394, clasificación AO Spine (tipo C) asociada a complicaciones perioperatorias. Revisar texto completo: región espinal (cervical/toracolumbar) y desglose por subgrupo AO."
RAY-07,rayyan-654530334,PubMed,2017,"Update on critical care for acute spinal cord injury in the setting of polytrauma.",Exclude,"Revisión narrativa de manejo en cuidados críticos, no específica de clasificación AO Spine ni de su validez predictiva."
RAY-08,rayyan-654530335,PubMed,2022,"O-Arm Navigated Cervical Pedicle Screw Fixation in the Treatment of Lower Cervical Fracture-Dislocation.",Exclude,"Comparación entre técnicas quirúrgicas (CPS vs LMS); SLIC solo como descriptor basal promedio, no como exposición ni desglose de outcome por subgrupo."
RAY-09,rayyan-654530336,PubMed,2023,"Presentation, Management, and Outcomes of Traumatic Spinal Injuries Following Coconut Tree Fall in Tanzania.",Maybe,"Retrospectivo n=44, clasificación AO explícita (65.9% tipo A), outcome ASIA. Incluye pacientes desde 14 años — confirmar en texto completo que puedan aislarse los ≥18 años."
RAY-10,rayyan-654530337,PubMed,2023,"Comparison of Anterior Cervical Discectomy Fusion Combined with Lateral Mass Screw and with Cervical Pedicle Screw Fixation Surgery under O-Arm Navigation.",Exclude,"Comparación entre técnicas quirúrgicas; SLIC solo como descriptor basal, sin outcome desglosado por subgrupo."
RAY-11,rayyan-654530338,PubMed,2015,"Traumatic spondyloptosis: a series of 20 patients.",Exclude,"No usa clasificación AO Spine/SLIC/TLICS explícita; serie homogénea de un tipo de lesión extrema no clasificada por subgrupo AO."
RAY-12,rayyan-654530339,PubMed,2022,"Thoracolumbar Injury Classification and Severity Score Is Predictive of Perioperative Adverse Events in Operatively Treated Thoracic and Lumbar Fractures.",Include,"Cohorte retrospectiva n=199, prueba directamente la validez predictiva de TLICS sobre eventos adversos/complicaciones — coincide exactamente con el objetivo del review."
RAY-13,rayyan-654530340,PubMed,2021,"Better late than never: Clinical outcomes of delayed fixation in thoracolumbar spinal trauma.",Maybe,"Retrospectivo n=33, TLICS medido pero la comparación principal es por timing quirúrgico, no por subgrupo AO. Podría aportar datos secundarios de TLICS vs. outcome neurológico."
RAY-14,rayyan-654530341,PubMed,2013,"Retrospective evaluation of the validity of the Thoracolumbar Injury Classification System in 458 consecutively treated patients.",Include,"n=458, clasificación AO/Magerl y TLICS explícitas, concordancia de tratamiento y outcome ASIA por tipo AO — estudio central para el objetivo primario."
RAY-15,rayyan-654530343,PubMed,2026,"Height Matters: Unraveling Spinal Injury Patterns, Neurological Deficits, and Complications in Suicide Jump Survivors.",Maybe,"Serie n=100; compara TLICS vs. TL AOSIS en su correlación con la necesidad quirúrgica real — relevante para validez predictiva aunque el diseño no es la comparación clásica por subgrupo AO."
RAY-16,rayyan-654530344,PubMed,2024,"[Effectiveness of injured vertebra fixation with inclined-long pedicle screws combined with interbody fusion for thoracolumbar fracture dislocation with disc injury].",Maybe,"n=28, TLICS medio 9.9 (banda estrecha homogénea), ASIA pre/post reportado para toda la cohorte. Revisar si el texto completo desglosa por subtipo AO."
RAY-17,rayyan-654530345,PubMed,2023,"The use of robot-assisted surgery for the unstable traumatic spine: A retrospective cohort study.",Maybe,"n=42, umbral de inclusión TLICS>4 (cohorte homogénea), complicaciones postoperatorias reportadas. Revisar desglose por subgrupo en texto completo."
RAY-18,rayyan-654530346,PubMed,2023,"[Effectiveness of sagittal top compression reduction technique in treatment of thoracolumbar vertebral fractures].",Maybe,"n=59, comparación de técnicas quirúrgicas con clasificación AO/TLICS balanceada entre grupos como dato basal, no como exposición. Baja prioridad; revisar si hay desglose de outcome por tipo AO en tablas del texto completo."
RAY-19,rayyan-654530347,PubMed,2025,"Anterior cervical discectomy and fusion for subaxial cervical spine injuries; management challenges and early outcome.",Include,"n=81, cervical subaxial, SLIC score asociado significativamente a tasa de complicaciones (p=0.000) — prueba directa de validez predictiva secundaria."
RAY-20,rayyan-654530348,PubMed,2017,"Treatment of Thoracolumbar Fractures by Percutaneous Pedicle Screw Fixation Technique Combined with Three-step Reduction.",Exclude,"Serie de un solo brazo técnico; AO/TLICS usados para definir el plan de tratamiento, no como exposición con outcome desglosado por subgrupo."
RAY-21,rayyan-654530349,PubMed,2017,"[Treatment of odontoid fracture combined with lower cervical spinal cord injuries without fracture or dislocation].",Exclude,"n=7 (<20 pacientes por cohorte)."
RAY-22,rayyan-654530350,PubMed,2021,"Minimally invasive corpectomy and percutaneous transpedicular stabilization in the treatment of patients with unstable injures of the thoracolumbar spine.",Maybe,"n=34, cohorte homogénea TLICS≥5, reporta SF-36/VAS/ASIA. La granularidad de TLICS≥5 no mapea limpiamente a un subtipo A/B/C único; revisar texto completo."
RAY-23,rayyan-654530351,PubMed,2017,"Transpedicular Corpectomy and Cage Placement in the Treatment of Traumatic Lumbar Burst Fractures.",Exclude,"Solo 7 pacientes en el grupo operatorio de interés (<20)."
RAY-24,rayyan-654530352,PubMed,2015,"Clinical and radiological outcomes of conservative treatment after stable post-traumatic thoracolumbar fractures in elderly.",Exclude,"Cohorte con examen neurológico intacto por criterio de inclusión (outcome primario no evaluable); outcomes reportados (Denis pain score, cifosis) no coinciden con los prespecificados (AIS, complicaciones, reoperación, PROMs NDI/ODI/VAS/SF-36)."
RAY-25,rayyan-654530353,PubMed,2017,"Surgical management of C-type subaxial cervical fractures using cervical traction followed by ACDF within 12 h after the trauma.",Include,"n=22, cervical subaxial, clasificación AOSpine explícita (Tipo C), outcome neurológico (Frankel) — arm de un solo subtipo (C) válido para síntesis por subgrupo."
RAY-26,rayyan-654530354,PubMed,2019,"Decision tree analysis to better control treatment effects in spinal cord injury clinical research.",Include,"Registro RHSCIR n=806, clasificación AOSC tipo A-C explícita usada para predecir motor score (afín a ASIA motor score) — muestra grande, coincide directamente con el objetivo del review."
RAY-27,rayyan-654530355,PubMed,2018,"Management of Pediatric Posttraumatic Thoracolumbar Vertebral Body Burst Fractures by Use of Single-Stage Posterior Transpedicular Approach.",Exclude,"Población exclusivamente pediátrica (≤18 años)."
RAY-28,rayyan-654530356,PubMed,2017,"[Rationale and complications of the anterior-lateral extrapleural retroperitoneal approach for unstable thoracolumbar fractures].",Maybe,"n=86, umbral de inclusión TLICS>4 (cohorte homogénea), reporta secuelas neurológicas y complicaciones. Revisar desglose por subgrupo en texto completo."
RAY-29,rayyan-654530357,PubMed,2019,"Spinal injuries in airborne accidents: a demographic overview of 148 patients.",Maybe,"n=148, usa clasificación AOSpine y ASIA, pero el resumen no muestra desglose de outcomes por subgrupo AO. Revisar tablas del texto completo."
RAY-30,rayyan-654530358,PubMed,2017,"[Percutaneous pedicle screw fixation and minimally invasive decompression in the same incision for type A3 thoracolumbar burst fracture].",Maybe,"n=43, cohorte de un solo subtipo AO (A3) con outcome ASIA — comparación es por técnica quirúrgica, no por subgrupo, pero podría aportar un dato de arm A3."
RAY-31,rayyan-654530359,PubMed,2025,"Percutaneous Vertebroplasty With Cement-Augmented Hollow Screw Fixation for Kümmell Disease: A Case Report.",Exclude,"Reporte de caso (n=1)."
RAY-32,rayyan-654530360,PubMed,2021,"A comparison of monoaxial pedicle screw versus polyaxial pedicle screw in short-segment posterior fixation for thoracolumbar fractured vertebra.",Exclude,"Comparación entre técnicas de tornillo; clasificación AO/TLICS solo como dato basal, sin desglose de outcome por subgrupo."
RAY-33,rayyan-654530361,PubMed,2026,"Unilateral Biportal Endoscopy versus Open Surgery for Thoracolumbar Burst Fractures with Neurological Deficit.",Maybe,"n=38, cohorte con déficit neurológico basal (ASIA C-D) homogéneo, PROMs (VAS/ODI) y outcome neurológico a 12 meses. Comparación es por técnica quirúrgica, no por subgrupo AO."
RAY-34,rayyan-654530362,PubMed,2011,"[Analysis of concurrent intravertebral vacuum sign in thoracolumbar fractures after posterior internal fixation].",Exclude,"n=15 (<20 pacientes)."
RAY-35,rayyan-654530363,PubMed,2018,"[To fix the unstable region of sagittal injured unit symmetrically with pedicle screws combined with bone graft fusion for treating thoracolumbar fractures].",Maybe,"n=65, reporta distribución explícita por tipo AO (34 A, 27 B, 4 C) y grados ASIA pre/post para toda la cohorte. Candidato fuerte; revisar si el texto completo cruza outcome por subtipo."
RAY-36,rayyan-654530364,LILACS,2020,"Lesiones toracolumbares en la práctica de acrobacia en tela: Reporte de casos.",Exclude,"n=6 (<20 pacientes)."
